datetime,open,high,low,close
2023-03-22 00:00:00+00:00,0.92269999,0.92484999,0.91479999,0.91794997
2023-03-23 00:00:00+00:00,0.91799998,0.91829997,0.91210002,0.91549999
2023-03-24 00:00:00+00:00,0.91570002,0.92175001,0.91549999,0.91960001
2023-03-27 00:00:00+00:00,0.91895002,0.9199,0.9156,0.91579998
2023-03-28 00:00:00+00:00,0.91589999,0.9224,0.91369998,0.91900003
2023-03-29 00:00:00+00:00,0.91909999,0.9224,0.91665,0.91890001
2023-03-30 00:00:00+00:00,0.91890001,0.92019999,0.91259998,0.91409999
2023-03-31 00:00:00+00:00,0.91399997,0.91785002,0.91165,0.91469997
2023-04-03 00:00:00+00:00,0.91479999,0.91960001,0.91159999,0.91250002
2023-04-04 00:00:00+00:00,0.91254997,0.9145,0.90555,0.90605003
2023-04-05 00:00:00+00:00,0.90600002,0.90785003,0.90140003,0.90679997
2023-04-06 00:00:00+00:00,0.90684998,0.90775001,0.90355003,0.90469998
2023-04-07 00:00:00+00:00,0.90474999,0.90815002,0.90335,0.90544999
2023-04-10 00:00:00+00:00,0.90509999,0.912,0.90364999,0.90960002
2023-04-11 00:00:00+00:00,0.9095,0.91009998,0.90280002,0.90329999
2023-04-12 00:00:00+00:00,0.90335,0.90385002,0.89445001,0.89644998
2023-04-13 00:00:00+00:00,0.89609998,0.89775002,0.88604999,0.88959998
2023-04-14 00:00:00+00:00,0.88964999,0.89595002,0.88679999,0.89380002
2023-04-17 00:00:00+00:00,0.89490002,0.89985001,0.89219999,0.8987
2023-04-18 00:00:00+00:00,0.8987,0.89915001,0.89555001,0.8962
2023-04-19 00:00:00+00:00,0.89625001,0.90030003,0.89579999,0.89749998
2023-04-20 00:00:00+00:00,0.89749998,0.89859998,0.89209998,0.89225
2023-04-21 00:00:00+00:00,0.89244998,0.89539999,0.8908,0.8926
2023-04-24 00:00:00+00:00,0.89249998,0.89279997,0.8876,0.88779998
2023-04-25 00:00:00+00:00,0.88755,0.89284998,0.88599998,0.89179999
2023-04-26 00:00:00+00:00,0.8919,0.89270002,0.88520002,0.89120001
2023-04-27 00:00:00+00:00,0.89120001,0.89770001,0.89025003,0.89424998
2023-04-28 00:00:00+00:00,0.89450002,0.89770001,0.88959998,0.89445001
2023-05-01 00:00:00+00:00,0.89375001,0.89670002,0.89155,0.8955
2023-05-02 00:00:00+00:00,0.89545,0.89950001,0.89240003,0.89314997
2023-05-03 00:00:00+00:00,0.89300001,0.89345002,0.88335001,0.88410002
2023-05-04 00:00:00+00:00,0.88375002,0.88929999,0.88200003,0.8858
2023-05-05 00:00:00+00:00,0.88575,0.89709997,0.88349998,0.89069998
